"ID";"Lake";"object_annotation_category";"Community";"Major_mm";"Taille0.8";"Taille1"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57558;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57558;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,51516;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,69324;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,64554;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,49926;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6307;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,61268;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5777;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,50774;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57664;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,70384;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,63706;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66144;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,71868;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,48336;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,62328;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6148;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55332;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,64342;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,60844;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5088;"Petit";"Petit"
